dataset,model,budget,target,n1,crc,method,seeds,coverage_mean,coverage_var,mean_A_weight,mean_A_weight_minus1,cond_var,seq_path_var,expected_cost,realized_cost,pi_min,focus_lift,target_rate,soft_proxy,static_coverage_var,static_mean_A_weight,static_cond_var,static_expected_cost,coverage_var_ratio,mean_A_weight_ratio,cond_var_ratio
autoif,llama_31_8B_instruct,20.0,0.9,50,25,Residual + sequential AHT,50,0.8999333333969116,0.00020270300594454985,8.185060809932864,3.3818497129219596,2.0433174190825336,0.6129952257247602,20.120785998386054,,0.005,1.474106331620204,,23.307813230808375,0.0002386473929208645,1.0060666516751053,1.8252195533719058,12.615182854647538,0.8493828634103964,8.135704325657452,1.119491304653029
autoif,llama_31_8B_instruct,20.0,0.9,50,25,Residual + sequential AHT + CRC,50,0.901013331413269,0.00041458047700572523,10.520750617825064,4.416286767143024,3.469823111983976,1.0409469335951926,13.010868754528506,,0.005,1.6453916441404608,,47.255802475658086,0.0002386473929208645,1.0060666516751053,1.8252195533719058,12.615182854647538,1.7372093276677871,10.457309762040088,1.9010442363352038
autoif,llama_31_8B_instruct,20.0,0.9,50,25,Soft-prefix DAPRO,50,0.9086799991130828,0.0005493104614102257,1.8211655560619815,0.8062543995524873,5.769885186873272,1.7309655560619814,20.258466227933194,,0.005,1.5688963753821474,,1.9821398331390085,0.0002386473929208645,1.0060666516751053,1.8252195533719058,12.615182854647538,2.301766026802468,1.8101838014705416,3.1612006217082222
autoif,llama_31_8B_instruct,20.0,0.9,50,25,Soft-prefix DAPRO + CRC,50,0.905053334236145,0.0009408179554764314,4.1299537038529675,1.8005342041201025,13.452490123954336,4.035747037186301,13.095412394018679,,0.005,1.7889983276868415,,4.436336988653678,0.0002386473929208645,1.0060666516751053,1.8252195533719058,12.615182854647538,3.9422930372778335,4.105049796627864,7.370340789469541
autoif,llama_31_8B_instruct,20.0,0.9,100,50,Endpoint/block + terminal residual AHT,50,0.899300000667572,0.0001561326366609301,0.6287342730542071,0.3209542347490052,1.069847449163351,0.3209542347490052,19.916421727716507,,0.005,,,,0.0002386473929208645,1.0060666516751053,1.8252195533719058,12.615182854647538,0.6542398588561313,0.6249429617882293,0.5861472649615864
autoif,llama_31_8B_instruct,20.0,0.9,100,50,Endpoint/block + terminal residual AHT + CRC,50,0.8979888892173767,0.00023340101316529727,0.9294674857794882,0.5013116004945347,1.671038668315116,0.5013116004945347,15.864132269583333,,0.005,,,,0.0002386473929208645,1.0060666516751053,1.8252195533719058,12.615182854647538,0.9780161865949781,0.9238627323864883,0.9155274855718281
autoif,llama_31_8B_instruct,20.0,0.9,100,50,Information-gain + sequential AHT,50,0.9022400009632111,0.00018615427544875046,5.078742067772147,2.135306952137567,1.7714521931645324,0.5314356579493598,20.133906574128353,,0.005,1.4757984966127955,,0.6150097188579519,0.0002386473929208645,1.0060666516751053,1.8252195533719058,12.615182854647538,0.7800390072163044,5.048116900919059,0.9705419766580717
autoif,llama_31_8B_instruct,20.0,0.9,100,50,Information-gain + sequential AHT + CRC,50,0.8963866686820984,0.0003046591197366187,6.658540890674525,2.7928645389418723,2.663103264197176,0.7989309792591528,16.60495273523998,,0.005,1.4512404358562712,,0.8990980816840142,0.0002386473929208645,1.0060666516751053,1.8252195533719058,12.615182854647538,1.2766077852677138,6.618389427368481,1.4590591358049865
autoif,llama_31_8B_instruct,20.0,0.9,100,50,Oracle,50,0.8991266691684723,5.7550467621660133e-05,0.15253999999999995,0.0,,,126.15182666666668,,,,,,0.0002386473929208645,1.0060666516751053,1.8252195533719058,12.615182854647538,0.24115271873405245,0.15162017322214208,
autoif,llama_31_8B_instruct,20.0,0.9,100,50,Residual + sequential AHT,50,0.8997866690158844,0.00020186735544100215,7.717581456360278,3.1967919845536845,1.9355719903317814,0.5806715970995344,20.152743344027467,,0.005,1.4892576786953373,,23.862772626283387,0.0002386473929208645,1.0060666516751053,1.8252195533719058,12.615182854647538,0.8458812517090492,7.671043905004177,1.0604598152348361
autoif,llama_31_8B_instruct,20.0,0.9,100,50,Residual + sequential AHT + CRC,50,0.9017599999904633,0.00022743329632264101,9.20149641961822,3.8471518598249794,2.6500849995028815,0.7950254998508643,16.631482325158196,,0.005,1.4755236952010962,,33.76297889975596,0.0002386473929208645,1.0060666516751053,1.8252195533719058,12.615182854647538,0.9530097669998764,9.146010758131867,1.4519266981372851
autoif,llama_31_8B_instruct,20.0,0.9,100,50,Soft-prefix DAPRO,50,0.9094999980926514,0.0007590396396721295,1.322827924940101,0.6203327275064094,4.111515305355893,1.2334545916067678,20.238568219496283,,0.005,1.5721157979031488,,1.504764498159106,0.0002386473929208645,1.0060666516751053,1.8252195533719058,12.615182854647538,3.1805905372862258,1.3148511808214562,2.2526141021009174
